User_ID,User_Name,Platform,Date,State,Region,Followers,Views,Likes,Shares,Comments,Content_ID,Source,Revenue
E0IFD0TV,Aarav Sharma,Twitter / X,23-03-2021,Rajasthan,West,244962,8479454,223099,588608,104298,zzpqk51fpk,Collaboration,957234.47
DNMMJBQE,Ishaan Verma,YouTube,23-08-2021,Karnataka,South,870693,6068228,4843680,201729,369448,cx1945nq4f,Consultancy,209902.28
ZYCWTIQJ,Aryan Reddy,Instagram,22-09-2024,Himachal Pradesh,North,806635,939483,1921894,861822,16879,2oc6uzhr5x,Collaboration,265247.73
0T0PVN9E,Kavya Verma,Twitter / X,29-10-2024,Haryana,North,115975,2565251,1342526,830655,356818,pcn9t84azy,Guest Appearance,751002.36
XEPQ85JS,Aditya Joshi,Twitter / X,17-11-2024,Tripura,East,883554,8518169,1669087,160363,196088,1t2tala753,Consultancy,239832.58
58DRC11E,Kavya Joshi,Facebook,26-06-2021,Haryana,North,554306,7100076,1777192,974136,282796,1yzoyn6qic,Sponsorship,588514.56
VAZCCBLS,Anaya Chopra,Facebook,09-01-2023,Haryana,North,139739,9581513,4834113,495731,127450,23gdppq0y9,Sponsorship,61082.37
M5IGQPKI,Vivaan Chopra,YouTube,19-07-2020,Telangana,South,54045,9070560,124297,97893,485733,1ior56fao7,Patrion,285606.6
89UZFK8U,Aryan Sharma,Instagram,27-04-2020,Tamil Nadu,South,53578,9801873,4000091,527376,482073,4f8cgvyie6,Collaboration,579129.6
WPVS7HZI,Ishaan Patel,Instagram,25-07-2022,Arunachal Pradesh,East,975146,1218071,78643,480647,325716,99chj755nf,Guest Appearance,703688.16
93TYT7D5,Anaya Verma,Twitter / X,29-02-2024,Punjab,North,581097,2608983,2285122,295542,317155,hmy4sj6bw3,Sponsorship,4043.92
E9FPZUE8,Aditya Joshi,Twitter / X,05-09-2024,Tripura,East,611805,9270832,1242800,450764,66868,bn78bmyymu,Patrion,973850.1
F75935A0,Diya Yadav,Facebook,30-06-2021,Telangana,South,167931,1814543,3209492,914633,20352,4i3qk2iagl,Sponsorship,966905.66
MSY4LA5J,Riya Nair,Twitter / X,10-08-2020,Himachal Pradesh,North,626550,7291770,2900333,764034,412364,lvsnujza7t,Collaboration,364539.36
87WXE6SY,Diya Yadav,Instagram,09-02-2023,Assam,South,202158,7054918,3181001,710319,392287,6wktakpuxq,Patrion,675789.42
R62GDSWM,Sai Nair,Facebook,09-07-2024,Mizoram,South,155511,410790,388168,256836,249158,w1q5uznofy,Sponsorship,778531.2
G8SBI4Q2,Aryan Joshi,YouTube,11-10-2021,Haryana,North,997188,7426149,4234886,447570,435507,6qf5q14j1r,Collaboration,274960.15
ZIM6CFNF,Sai Verma,Snapchat,14-04-2022,Assam,East,569969,7817912,3488267,65390,108490,3o18a5ur7k,Patrion,853521.23
P0TVHHPB,Diya Yadav,Facebook,17-09-2024,Uttarakhand,North,491094,2142239,4481053,28376,475541,ouaxeqbnhl,Patrion,278617.49
P4Q0B8IC,Aarav Sharma,Facebook,12-02-2021,Uttarakhand,North,880995,342919,1278775,250232,66226,re8qjnv8z2,Collaboration,964738.41
U7U6N7HV,Sai Verma,Instagram,07-10-2024,Bihar,East,718497,2031966,4747886,820752,21582,mpnsm43d8w,Patrion,707454.99
GSXW71Q3,Riya Nair,Instagram,10-10-2024,Maharashtra,West,258420,1454962,2340319,924557,236400,iqvnb4gh2m,Guest Appearance,701333.16
USGIOTIR,Kavya Chopra,Twitter / X,09-07-2020,Himachal Pradesh,North,309528,3718770,3392862,725491,127611,lurtp0lzjj,Sponsorship,721423.69
ET1GHR09,Aryan Das,Instagram,24-07-2020,Karnataka,South,874074,3257752,2485595,238633,189255,gatj9tze5r,Sponsorship,574277.19
RM8J5ECR,Riya Sharma,Facebook,01-11-2020,Meghalaya,Central,996230,5098514,715049,260347,62152,uovw1n6kvp,Guest Appearance,621216.81
8D1WJCIT,Aditya Sharma,Snapchat,11-07-2022,Punjab,North,723858,9963498,3942411,305507,17162,izzqy72wx7,Patrion,115218.91
X63CFL0U,Anaya Chopra,Twitter / X,17-08-2022,Haryana,North,723131,5102803,3376986,988567,142785,srcbpljd84,Guest Appearance,587329.37
9YJB1QX6,Aditya Das,Snapchat,24-07-2023,Andhra Pradesh,South,854797,8250789,765896,492941,182481,oldforxo1b,Sponsorship,314859.9
E153A5QB,Aryan Mehta,YouTube,29-03-2024,Karnataka,South,523707,7417216,433450,213546,140064,t7pze9vift,Guest Appearance,408286.69
96QE3RZS,Anaya Yadav,Snapchat,25-08-2022,Haryana,North,256570,7664605,4624846,151768,201159,gv0ec14m2j,Sponsorship,283197.56
4UX5QRL1,Ishaan Chopra,Instagram,15-11-2024,Jharkhand,East,198816,4007492,4797086,401674,122503,4olr6n92xf,Sponsorship,126683.15
LD4D6AF5,Aditya Verma,Snapchat,19-05-2024,Odisha,East,278896,5681114,3334831,681503,42158,444nlz15bc,Consultancy,997427.21
D91ZDFKB,Diya Sharma,Instagram,04-01-2022,Telangana,South,394049,7226725,1221627,256159,278534,oyggvnyrui,Consultancy,459840.71
A26YFPMV,Ishaan Nair,Snapchat,27-09-2024,Sikkim,East,209894,6455081,4053943,111934,124414,nmkza3oa52,Sponsorship,910661.65
R6K2VMWW,Aditya Verma,Twitter / X,24-09-2021,Telangana,South,827918,7396785,280381,607827,191342,0dk0get8t6,Collaboration,257341.6
78K52QC1,Sai Yadav,YouTube,19-01-2022,Uttarakhand,North,95689,6620862,117258,277404,281368,en0jnwnyqw,Guest Appearance,328342.28
HC36KOF8,Anaya Chopra,Twitter / X,18-07-2020,Punjab,North,247205,9019535,1138532,407624,237889,n8ztv05x4w,Consultancy,33199.93
HQIN9N6X,Aarav Yadav,Instagram,23-01-2021,Kerala,South,129093,7629891,769512,695063,111254,xva2ieuc1h,Collaboration,813146.45
LF6A4FEJ,Aditya Verma,Twitter / X,26-09-2020,Haryana,North,16582,6011308,1996414,617557,169799,ajepecqnvq,Collaboration,945442.94
06XKXB94,Ishaan Verma,Snapchat,29-12-2023,Arunachal Pradesh,West,78060,1356439,2702569,637946,77819,cjwtl9tqvd,Sponsorship,852866.34
5T5P5O3O,Vivaan Mehta,Snapchat,02-10-2021,Rajasthan,West,698416,4277341,3140364,160153,360142,7c3dd03uvu,Consultancy,670178.26
MX15Z8VM,Riya Joshi,Facebook,12-11-2020,Maharashtra,West,689637,8090795,1881602,888532,56787,muekipu1wy,Guest Appearance,26740.7
3JGZLMA5,Riya Yadav,Twitter / X,17-10-2020,Sikkim,North,97214,8901022,1805165,394568,220163,qfll7v5f1b,Sponsorship,272466.79
PVOHSMDY,Riya Chopra,YouTube,28-09-2023,Sikkim,East,48623,3700685,3316209,628537,28771,akhejla0gn,Collaboration,500512.22
YMO0PQCL,Ishaan Das,Snapchat,24-12-2023,Uttarakhand,North,672237,7008741,2429129,120868,212403,al2w37d4iv,Guest Appearance,79107.76
LMLGSES6,Diya Mehta,Facebook,28-04-2021,West Bengal,East,108798,2457926,2147717,206954,91013,v1xg1r11q7,Guest Appearance,643170.33
L8LPQW2V,Diya Joshi,Twitter / X,27-09-2021,Punjab,North,485172,7582856,315972,59753,193374,3c54wsqt26,Patrion,909095.43
XLRFCD6M,Vivaan Joshi,Facebook,21-03-2020,Odisha,East,260778,7345365,3686637,549625,274120,vn7n1ybwml,Guest Appearance,678540.16
J48VFCX7,Anaya Yadav,Facebook,03-05-2023,Jharkhand,East,744266,1422349,2597461,586172,197538,xlez896dys,Sponsorship,362916.37
8M1G9FK2,Aryan Joshi,YouTube,18-03-2020,Goa,West,695083,5650968,1099819,626358,197559,fgyw6zbnz8,Guest Appearance,285285.47
